drug,name,g_id,smiles,,,,,,,,,,
CHEMBL17639,1546,0,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,,,,,,,,,,
NSC169534,1691,1,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,,,,,,,,,,
"Azacytidine, 5-",1805,2,C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,,,,,,,,,,
altretamine,2123,3,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,,,,,,,,,,
amifostine,2141,4,C(CN)CNCCSP(=O)(O)O,,,,,,,,,,
anastrozole,2187,5,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,,,,,,,,,,
bepridil,2351,6,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,,,,,,,,,,
busulfan,2478,7,CS(=O)(=O)OCCCCOS(=O)(=O)C,,,,,,,,,,
carmustine,2578,8,C(CCl)NC(=O)N(CCCl)N=O,,,,,,,,,,
celecoxib,2662,9,CC1=CC=C(C=C1)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F,,,,,,,,,,
chlorambucil,2708,10,C1=CC(=CC=C1CCCC(=O)O)N(CCCl)CCCl,,,,,,,,,,
chloroquine,2719,11,CCN(CC)CCCC(C)NC1=C2C=CC(=CC2=NC=C1)Cl,,,,,,,,,,
clomiphene,2800,12,CCN(CC)CCOC1=CC=C(C=C1)C(=C(C2=CC=CC=C2)Cl)C3=CC=CC=C3,,,,,,,,,,
cyclophosphamide,2907,13,C1CNP(=O)(OC1)N(CCCl)CCCl,,,,,,,,,,
LSM-4270,3143,14,CC1=C2C(C(=O)C3(C(CC4C(C3C(C(C2(C)C)(CC1OC(=O)C(C(C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O,,,,,,,,,,
Fludarabine Base,3367,15,C1=NC2=C(N=C(N=C2N1C3C(C(C(O3)CO)O)O)F)N,,,,,,,,,,
5-Fluorouracil,3385,16,C1=C(C(=O)NC(=O)N1)F,,,,,,,,,,
3'-Epi Gemcitabine (Gemcitabine Impurity),3461,17,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F,,,,,,,,,,
hydroxyurea,3657,18,C(=O)(N)NO,,,,,,,,,,
NSC256439,3685,19,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=CC=CC=C5C4=O)O)(C(=O)C)O)N)O,,,,,,,,,,
ifosfamide,3690,20,C1CN(P(=O)(OC1)NCCCl)CCCl,,,,,,,,,,
letrozole,3902,21,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,,,,,,,,,,
lomustine,3950,22,C1CCC(CC1)NC(=O)N(CCCl)N=O,,,,,,,,,,
methoxsalen,4114,23,COC1=C2C(=CC3=C1OC=C3)C=CC(=O)O2,,,,,,,,,,
mitotane,4211,24,C1=CC=C(C(=C1)C(C2=CC=C(C=C2)Cl)C(Cl)Cl)Cl,,,,,,,,,,
mitoxantrone,4212,25,C1=CC(=C2C(=C1NCCNCCO)C(=O)C3=C(C=CC(=C3C2=O)O)O)NCCNCCO,,,,,,,,,,
Entinostat,4261,26,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,,,,,,,,,,
pipobroman,4842,27,C1CN(CCN1C(=O)CCBr)C(=O)CCBr,,,,,,,,,,
raloxifene,5035,28,C1CCN(CC1)CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=C3C=CC(=C4)O)C5=CC=C(C=C5)O,,,,,,,,,,
Imatinib,5291,29,CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5,,,,,,,,,,
Vorinostat,5311,30,C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO,,,,,,,,,,
temozolomide,5394,31,CN1C(=O)N2C=NC(=C2N=N1)C(=O)N,,,,,,,,,,
thalidomide,5426,32,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,,,,,,,,,,
thiotepa,5453,33,C1CN1P(=S)(N2CC2)N3CC3,,,,,,,,,,
mitomycin C,5746,34,CC1=C(C(=O)C2=C(C1=O)N3C[C@H]4[C@@H]([C@@]3([C@@H]2COC(=O)N)OC)N4)N,,,,,,,,,,
5-Fluoro-2'-deoxyuridine,5790,35,C1[C@@H]([C@H](O[C@H]1N2C=C(C(=O)NC2=O)F)CO)O,,,,,,,,,,
Triethylenemelamine,5799,36,C1CN1C2=NC(=NC(=N2)N3CC3)N4CC4,,,,,,,,,,
55-86-7,5935,37,CN(CCCl)CCCl.Cl,,,,,,,,,,
colchicine,6167,38,CC(=O)N[C@H]1CCC2=CC(=C(C(=C2C3=CC=C(C(=O)C=C13)OC)OC)OC)OC,,,,,,,,,,
Uramustine,6194,39,C1=C(C(=O)NC(=O)N1)N(CCCl)CCCl,,,,,,,,,,
Quinacrine hydrochloride,6239,40,CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl,,,,,,,,,,
CYTARABINE HYDROCHLORIDE,6252,41,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O.Cl,,,,,,,,,,
5-azacytidine,9444,42,C1=NC(=NC(=O)N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N,,,,,,,,,,
Procarbazine hydrochloride,9703,43,CC(C)NC(=O)C1=CC=C(C=C1)CNNC.Cl,,,,,,,,,,
MEGESTROL ACETATE,11683,44,CC1=C[C@@H]2[C@H](CC[C@]3([C@H]2CC[C@@]3(C(=O)C)OC(=O)C)C)[C@@]4(C1=CC(=O)CC4)C,,,,,,,,,,
Zanosar,29327,45,CN(C(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1O)CO)O)O)N=O,,,,,,,,,,
ADM hydrochloride,32874,46,CC1C(C(CC(O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O.Cl,,,,,,,,,,
